id,bracket_id,winner,winner_votes,runner_up_votes,runner_up
1,8,2,52145,25420,7
2,9,5,64451,11820,10
3,10,12,68092,17706,3
4,11,8,71227,14026,6
5,12,4,40968,32251,2
6,13,5,60621,11038,1
7,14,12,31728,22447,9
8,15,8,34000,22532,11
9,16,5,31399,22496,4
10,17,8,44581,18451,12
11,18,8,,,5
12,19,5,,,13
13,20,12,,,6
14,21,1,,,14
15,22,15,,,16
16,23,5,,,8
17,24,11,,,12
18,25,1,,,7
19,26,2,,,15
20,27,11,,,5
21,28,1,,,2
22,29,11,,,1
23,30,23,,,8
24,31,6,,,24
25,32,2,,,5
26,33,15,,,25
27,34,23,,,1
28,35,11,,,6
29,36,2,,,9
30,37,7,,,15
31,38,23,,,11
32,39,7,,,2
33,40,7,,,23
34,41,26,,,5
35,42,24,,,9
36,43,1,,,12
37,44,14,,,27
38,45,26,,,8
39,46,24,,,7
40,47,1,,,13
41,48,11,,,14
42,49,26,,,24
43,50,11,,,1
44,51,26,,,11
45,52,7,,,24
46,53,26,,,2
47,54,9,,,14
48,55,5,,,13
49,56,11,,,7
50,57,28,,,26
51,58,1,,,9
52,59,8,,,5
53,60,11,,,28
54,61,8,,,1
55,62,8,,,11
56,63,5,,,29
57,64,26,,,6
58,65,31,,,30
59,66,1,,,13
60,67,8,,,5
61,68,28,,,26
62,69,7,,,31
63,70,11,,,1
64,71,8,,,28
65,72,7,,,11
66,73,8,,,7
67,74,7,,,9
68,75,1,,,29
69,76,24,,,32
70,77,30,,,2
71,78,26,,,7
72,79,1,,,11
73,80,28,,,24
74,81,8,,,30
75,82,26,,,1
76,83,8,,,28
77,84,26,,,8
78,85,33,,,34
79,86,37,,,35
80,87,1,,,36
81,88,6,,,24
82,89,26,,,33
83,90,8,,,37
84,91,1,,,11
85,92,28,,,6
86,93,8,,,26
87,94,28,,,1
88,95,8,,,28
